attack_name,day,keywords,comments
CommonThreat-PhishingE-mailExcel,20180409,"thunderbird",final_report                                  
CommonThreat-PhishingE-mailExcel,20180409,"BoviaBenefitsOE.xlsm",final_report  
CommonThreat-PhishingE-mailExcel,20180409,"BoviaBenefitsOE.xlsm",final_report                         
CommonThreat-PhishingE-mailExcel,20180409,"Excel",final_report                                        
CommonThreat-PhishingE-mailExcel,20180409,"powershell",final_report                                   
CommonThreat-PhishingE-mailExcel,20180409,"208.75.117.5",final_report                              
CommonThreat-PhishingE-mailExcel,20180409,"update.ps1",final_report                    
CommonThreat-PhishingE-mailExcel,20180409,"update.ps1",final_report                    
CommonThreat-PhishingE-mailExcel,20180409,"208.75.117.6",final_report                              
CommonThreat-PhishingE-mailExcel,20180409,"whoami",final_report                                       
CommonThreat-PhishingE-mailExcel,20180409,"hostname",final_report                                     
CommonThreat-PhishingE-mailExcel,20180409,"tasklist",final_report                                     
CommonThreat-PhishingE-mailExcel,20180409,"ipconfig",final_report                                     
CommonThreat-PhishingE-mailExcel,20180409,"netstat",final_report                                      
CommonThreat-PhishingE-mailExcel,20180409,"sc,query",final_report                                     
CommonThreat-PhishingE-mailExcel,20180409,"net,share",final_report                                    
CommonThreat-PhishingE-mailExcel,20180409,"getmac",final_report                                       
CommonThreat-PhishingE-mailExcel,20180409,"nbtstat",final_report                                      
CommonThreat-PhishingE-mailExcel,20180409,"nslookup,www.google.com",final_report                      
CommonThreat-PhishingE-mailExcel,20180409,"hosts",final_report          
CommonThreat-PhishingE-mailExcel,20180409,"route,print",final_report                                  
CommonThreat-PhishingE-mailExcel,20180409,"ping,128.55.12.1",final_report                             
CommonThreat-PhishingE-mailExcel,20180409,"ping,128.55.12.10",final_report                            
CommonThreat-PhishingE-mailExcel,20180409,"ping,128.55.12.73",final_report                            
CommonThreat-PhishingE-mailExcel,20180409,"systeminfo",final_report                                   
CommonThreat-PhishingE-mailExcel,20180409,"driverquery",final_report                                  
CommonThreat-PhishingE-mailExcel,20180409,"wmic,logicaldisk",final_report                             
CommonThreat-PhishingE-mailExcel,20180409,"wmic,baseboard",final_report                               
CommonThreat-PhishingE-mailExcel,20180409,"wmic,csproduct",final_report                               
CommonThreat-PhishingE-mailExcel,20180409,"net,share,Documents",final_report             
CommonThreat-PhishingE-mailExcel,20180409,"mydocs",final_report                
CommonThreat-PhishingE-mailExcel,20180409,"net,share,mydocs",final_report      
CommonThreat-PhishingE-mailExcel,20180409,"mydocs",final_report                
CommonThreat-PhishingE-mailExcel,20180409,"Document.rtf",final_report          
CommonThreat-PhishingE-mailExcel,20180409,"MissleAlert.rtf",final_report       
CommonThreat-PhishingE-mailExcel,20180409,"trains.rtf",final_report            
CommonThreat-PhishingE-mailExcel,20180409,"BoviaBenefitsOE.xlsm",final_report  
CommonThreat-PhishingE-mailExcel,20180409,"taskkill,8744",final_report                                
CommonThreat-PhishingE-mailExcel,20180409,"Excel,BoviaBenefitsOE.xlsm",final_report                   
CommonThreat-PhishingE-mailExcel,20180409,"BoviaBenefitsOE.xlsm",final_report  
CommonThreat-PhishingE-mailExcel,20180409,"schtasks,create",final_report                              
NationState-FirefoxDrakon,20180411,"www.cnpc.com.cn",final_report              
NationState-FirefoxDrakon,20180411,"179.252.65.246",final_report                   
NationState-FirefoxDrakon,20180411,"156.78.147.114",final_report                   
NationState-FirefoxDrakon,20180411,"16.54.116.146",final_report                    
NationState-FirefoxDrakon,20180411,"whoami",final_report                              
NationState-FirefoxDrakon,20180411,"hostname",final_report                            
NationState-FirefoxDrakon,20180411,"ps",final_report                                  
NationState-FirefoxDrakon,20180411,"trains.rtf",final_report                          
NationState-FirefoxDrakon,20180411,"malicious.rtf",final_report                       
NationState-FirefoxDrakon,20180411,"locomotives.rtf",final_report                     
NationState-FirefoxDrakon,20180411,"Document.rtf",final_report                        
NationState-FirefoxDrakon,20180411,"MissleAlert.rtf",final_report                     
NationState-FirefoxDrakon,20180411,"Missledefence.doc",final_report                   
NationState-FirefoxDrakon,20180411,"trains.docx",final_report                         
NationState-FirefoxDrakon,20180411,"test.docx",final_report                           
NationState-FirefoxDrakon,20180411,"Covert.xlsx",final_report                         
NationState-FirefoxDrakon,20180411,"hosts",final_report 
NationState-FirefoxDrakon,20180411,"193.189.212.26",final_report                   
NationState-FirefoxDrakon,20180411,"whoami",final_report                              
NationState-FirefoxDrakon,20180411,"hostname",final_report                            
NationState-FirefoxDrakon,20180411,"27.56.56.211",final_report                     
NationState-FirefoxBrowserExtensionDrakon,20180412,"www.allstate.com",final_report                       
NationState-FirefoxBrowserExtensionDrakon,20180412,"132.85.63.248",final_report                              
NationState-FirefoxBrowserExtensionDrakon,20180412,"pass_mgr",final_report                                      
NationState-FirefoxBrowserExtensionDrakon,20180412,"135.84.161.202",final_report                             
NationState-FirefoxBrowserExtensionDrakon,20180412,"hJauWl01",final_report
