attack_name,day,keywords,comment
CommonThreat--PhishingE-mail,20180406,"com.android.email",final_report   
CommonThreat--PhishingE-mail,20180406,"browser",final_report             
CommonThreat--PhishingE-mail,20180406,"www.nasa.ng",final_report  
CommonThreat--PhishingE-mail,20180406,"208.75.117.3",final_report        
CommonThreat--PhishingE-mail,20180406,"www.foo1.com",final_report 
CommonThreat--PhishingE-mail,20180406,"208.75.117.2",final_report        
CommonThreat--PhishingE-mail,20180406,"credentials",final_report         
Metasploit--Application,20180413,"com.metasploit.stage",final_report
Metasploit--Application,20180413,"53.157.70.118",final_report       
NationState--FirefoxDrakon,20180411,"www.mit.gov.jo",final_report                                           
NationState--FirefoxDrakon,20180411,"153.178.46.202",final_report                                               
NationState--FirefoxDrakon,20180411,"111.82.111.27",final_report                                                
NationState--FirefoxDrakon,20180411,"166.199.230.185",final_report                                              
NationState--FirefoxDrakon,20180411,"/proc/stat",final_report                                                
NationState--FirefoxDrakon,20180411,"www.mit.gov.jo",final_report                                           
NationState--FirefoxDrakon,20180411,"153.178.46.202",final_report                                               
NationState--FirefoxDrakon,20180411,"111.82.111.27",final_report                                                
NationState--FirefoxDrakon,20180411,"166.199.230.185",final_report                                              
NationState--FirefoxDrakon,20180411,"www.mit.gov.jo",final_report                                           
NationState--FirefoxDrakon,20180411,"153.178.46.202",final_report                                               
NationState--FirefoxDrakon,20180411,"111.82.111.27",final_report                                                
NationState--FirefoxDrakon,20180411,"166.199.230.185",final_report                                              
NationState--FirefoxDrakon,20180411,"org.mozilla.fennec_firefox_dev/shared_files",final_report          
NationState--FirefoxDrakon,20180411,"org.mozilla.fennec_firefox_dev/shared_files",final_report          
NationState--FirefoxDrakon,20180411,"glx_alsa_675",final_report                                               
NationState--FirefoxDrakon,20180411,"org.mozilla.fennec_firefox_dev/shared_files",final_report          
NationState--FirefoxDrakon,20180411,"shared_files",final_report                                        
NationState--FirefoxDrakon,20180411,"140.57.183.17",final_report                                                
NationState--FirefoxDrakon,20180411,"org.mozilla.fennec_firefox_dev/shared_files",final_report          
NationState--FirefoxDrakon,20180411,"stat",final_report                                                
NationState--FirefoxDrakon,20180411,"backup/fb-schedule",final_report                                        
NationState--FirefoxDrakon,20180411,"org.mozilla.fennec_firefox_dev/csb.tracee.27331.27355",final_report
NationState--FirefoxDrakon,20180411,"org.mozilla.fennec_firefox_dev/csb.tracee.27331.27355",final_report
NationState--FirefoxDrakon,20180412,"org.mozilla.fennec_firefox_dev/libs",final_report       
NationState--FirefoxDrakon,20180412,"org.mozilla.fennec_firefox_dev/libs",final_report       
NationState--FirefoxDrakon,20180412,"org.mozilla.fennec_firefox_dev/lib",final_report        
NationState--FirefoxDrakon,20180412,"org.mozilla.fennec_firefox_dev/shared_lib",final_report 
NationState--FirefoxDrakon,20180412,"org.mozilla.fennec_firefox_dev/shared_lib",final_report 
NationState--FirefoxDrakon,20180412,"glx_alsa_675",final_report                                    
NationState--FirefoxDrakon,20180412,"org.mozilla.fennec_firefox_dev/shared_lib",final_report 
NationState--FirefoxDrakon,20180412,"shared_lib",final_report                                   
NationState--FirefoxDrakon,20180412,"140.57.183.17",final_report                                     
NationState--FirefoxDrakon,20180412,"/proc/stat",final_report                                     
NationState--FirefoxDrakon,20180412,"tmp18d17sn1",final_report                          
NationState--FirefoxDrakon,20180412,"tmp18d17sn1",final_report                          
NationState--FirefoxDrakon,20180412,"tmp18d17sn1",final_report                          
