attack_name,day,keywords,comment
CommonThreat--PhishingE-mail,20180406,"62.83.155.175,128.55.12.167:8007","addresses"
CommonThreat--PhishingE-mail,20180406,"www.nasa.ng,208.75.117.3","addresses"
CommonThreat--PhishingE-mail,20180406,"www.foo1.com,208.75.117.2","addresses"
Metasploit--Application,20180413,"53.157.70.118,128.55.12.167:8037,meterpreter",addresses
Metasploit--Application,20180413,"/data/local/tmp/MsgApp.apk,MsgApp.apk",file
Metasploit--Application,20180413,"com.metasploit.stage,53.157.70.118",file
NationState--FirefoxDrakon,20180411,"http://www.mit.gov.jo","final_report"
NationState--FirefoxDrakon,20180411,"153.178.46.202","final_report"
NationState--FirefoxDrakon,20180411,"111.82.111.27","final_report"
NationState--FirefoxDrakon,20180411,"166.199.230.185","final_report"
NationState--FirefoxDrakon,20180411,"http://www.mit.gov.jo","final_report"
NationState--FirefoxDrakon,20180411,"153.178.46.202","final_report"
NationState--FirefoxDrakon,20180411,"111.82.111.27","final_report"
NationState--FirefoxDrakon,20180411,"fennec_firefox_dev,166.199.230.185","final_report"
NationState--FirefoxDrakon,20180411,"fennec_firefox_dev,org.mozilla.fennec_firefox_dev,shared_files","final_report"
NationState--FirefoxDrakon,20180411,"chmod,org.mozilla.fennec_firefox_dev,shared_files","final_report"
NationState--FirefoxDrakon,20180411,"cmd_exec,glx_alsa_675","final_report"
NationState--FirefoxDrakon,20180411,"/dev/glx_alsa_675,call_usermodehelper,org.mozilla.fennec_firefox_dev,shared_files","final_report"
NationState--FirefoxDrakon,20180411,"PID 13743,140.57.183.17","final_report"
NationState--FirefoxDrakon,20180411,"backup,fb-schedule","final_report"
NationState--FirefoxDrakon,20180411,"chmod,csb.tracee.27331.27355","final_report"
NationState--FirefoxDrakon,20180411,"fennec_firefox_dev,proc,stat","final_report"
NationState--FirefoxDrakon,20180412,"shared_files,PID 13743,org.mozilla.fennec_firefox_dev,libs","final_report"
NationState--FirefoxDrakon,20180412,"chmod,org.mozilla.fennec_firefox_dev/libs","final_report"
NationState--FirefoxDrakon,20180412,"org.mozilla.fennec_firefox_dev/shared_lib","final_report"
NationState--FirefoxDrakon,20180412,"shared_files,cmd_exec,glx_alsa_675","final_report"
NationState--FirefoxDrakon,20180412,"glx_alsa_675,call_usermodehelper,org.mozilla.fennec_firefox_dev/shared_lib","final_report"
NationState--FirefoxDrakon,20180412,"140.57.183.17","final_report"
NationState--FirefoxDrakon,20180412,"chmod,tmp18d17sn1","final_report"
NationState--FirefoxDrakon,20180412,"proc,stat","final_report"
